"Timestamp","What grade are you in?","Unweighted GPA","Weighted GPA","How many hours, on average, do you sleep per night? (e.g. 6.5, 8, 9.5, etc.)"
"2026/03/30 11:25:16 AM AST","10th","3.8","4.8","7 hours "
"2026/03/30 11:27:33 AM AST","10th","3.9","5.1","7"
"2026/03/30 11:30:05 AM AST","10th","4.000","5.200","5.5"
"2026/03/30 11:34:09 AM AST","10th","3.935","5.00","6 hours "
"2026/03/30 11:53:09 AM AST","11th","3.8","4.7","5.5"
"2026/03/30 12:18:53 PM AST","10th","3.6","4.5","5"
"2026/03/30 12:40:24 PM AST","10th","3.78","4.562","6"
"2026/03/30 12:41:20 PM AST","9th","3.667","4.727","6"
"2026/03/30 12:43:14 PM AST","12th","3.78","5.14","3.5"
"2026/03/30 12:43:27 PM AST","11th","3.45","4.3","6"
"2026/03/30 12:47:50 PM AST","11th","3.8","4.7","6.5"
"2026/03/30 12:57:01 PM AST","10th","3.6","4.6","6.5"
"2026/03/30 3:21:15 PM AST","10th","3.87","4.71","6.5"
"2026/03/30 3:50:30 PM AST","11th","3.58","5.04","6.5"
"2026/03/30 4:41:19 PM AST","11th","3.7","4.7","6"
"2026/03/30 5:43:51 PM AST","11th","3.5","4.7","7"
"2026/03/30 5:52:23 PM AST","11th","3.3","4.6","5"
"2026/03/30 6:02:06 PM AST","12th","3.5","4.6","7"
"2026/03/30 6:06:35 PM AST","12th","3.77","5.01","7"
"2026/03/30 6:06:41 PM AST","12th","3.88","4.9","6"
"2026/03/30 6:08:39 PM AST","11th","3.744","5.07","6"
"2026/03/30 6:13:14 PM AST","11th","3.43","4.2","7-8"
"2026/03/30 6:18:10 PM AST","12th","3.8","4.9","7"
"2026/03/30 6:41:40 PM AST","12th","3.7","5.1","7.5"
"2026/03/30 7:00:36 PM AST","12th","3.5","4.3","5"
"2026/03/30 7:01:12 PM AST","11th","3.668","4.816","7"
"2026/03/30 7:53:00 PM AST","12th","3.4","4.3","7"
"2026/03/30 8:19:26 PM AST","10th","3.944","5.111","7-8"
"2026/03/30 8:23:51 PM AST","9th","3.4","4.4","7"
"2026/03/30 9:14:15 PM AST","12th","3.0","4.0","7"
"2026/03/31 7:18:36 AM AST","12th","3.2","4.4","7"
"2026/03/31 7:59:54 AM AST","9th","3.455","4.364","8"
"2026/03/31 8:06:51 AM AST","9th","4.00","4.765","7.5"
"2026/03/31 8:24:12 AM AST","9th","4.00","4.765","5"
"2026/03/31 8:55:32 AM AST","9th","3.867","4.4","7"
